City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Puerto Berrío,6.4916,-74.4033,82.54,67,47,0.76,CO,"Oct 21, 2022"
Eberswalde,52.8349,13.8195,60.31,70,100,5.66,DE,"Oct 21, 2022"
Mbumi,-7.9058,39.2105,81.72,50,82,9.98,TZ,"Oct 21, 2022"
Lompoc,34.6391,-120.4579,57.52,97,100,3.44,US,"Oct 21, 2022"
Ukiah,39.1502,-123.2078,59.38,60,61,1.88,US,"Oct 21, 2022"
Camopi,3.1655,-52.3158,92.53,42,82,3.58,GF,"Oct 21, 2022"
Vostok,46.4856,135.8833,42.15,92,99,4.14,RU,"Oct 21, 2022"
Saldanha,-33.0117,17.9442,63.75,67,9,29.59,ZA,"Oct 21, 2022"
Ashti,19.3833,76.2333,73.65,84,7,10.04,IN,"Oct 21, 2022"
Bandarbeyla,9.4942,50.8122,79.36,81,9,16.62,SO,"Oct 21, 2022"
Nipawin,53.3668,-104.0009,40.98,60,100,9.31,CA,"Oct 21, 2022"
Lichuan,30.3,108.85,55.06,69,6,0.47,CN,"Oct 21, 2022"
Vila Velha,-20.3297,-40.2925,78.94,78,57,13.0,BR,"Oct 21, 2022"
Kisi,9.0833,3.85,89.38,42,100,5.41,NG,"Oct 21, 2022"
Umba,66.6871,34.3429,33.82,74,18,4.79,RU,"Oct 21, 2022"
Yumen,40.2833,97.2,46.09,35,0,5.53,CN,"Oct 21, 2022"
Dunedin,-45.8742,170.5036,42.8,83,7,1.99,NZ,"Oct 21, 2022"
Denpasar,-8.65,115.2167,80.26,94,40,2.3,ID,"Oct 21, 2022"
Bārmer,25.75,71.3833,85.57,18,0,4.09,IN,"Oct 21, 2022"
Husavik,66.0449,-17.3389,33.49,81,45,7.07,IS,"Oct 21, 2022"
Longaví,-35.9667,-71.6833,59.25,60,45,8.99,CL,"Oct 21, 2022"
Grand Gaube,-20.0064,57.6608,75.38,72,3,5.01,MU,"Oct 21, 2022"
Buraidah,26.326,43.975,88.56,10,0,4.36,SA,"Oct 21, 2022"
Bumba,2.1833,22.4667,74.21,93,100,2.84,CD,"Oct 21, 2022"
Lavrentiya,65.5833,-171.0,34.52,94,100,8.5,RU,"Oct 21, 2022"
Puerto Escondido,15.85,-97.0667,77.83,73,40,6.91,MX,"Oct 21, 2022"
Ust'-Kan,50.9276,84.761,35.62,79,100,6.4,RU,"Oct 21, 2022"
Okhotsk,59.3833,143.3,25.97,62,98,11.56,RU,"Oct 21, 2022"
Jumla,29.2747,82.1838,44.01,88,8,4.14,NP,"Oct 21, 2022"
Manokwari,-0.8667,134.0833,78.67,84,92,6.67,ID,"Oct 21, 2022"
Ostrovnoy,68.0531,39.5131,34.74,67,100,19.22,RU,"Oct 21, 2022"
Longonjo,-12.9067,15.2533,77.43,46,86,0.47,AO,"Oct 21, 2022"
Tuim,54.3417,89.9261,38.59,81,90,5.28,RU,"Oct 21, 2022"
Huarmey,-10.0681,-78.1522,63.82,77,83,7.61,PE,"Oct 21, 2022"
Takoradze,4.8845,-1.7554,83.16,70,97,10.49,GH,"Oct 21, 2022"
Leshukonskoye,64.8989,45.7622,33.15,93,98,12.24,RU,"Oct 21, 2022"
Nuuk,64.1835,-51.7216,45.21,81,75,43.73,GL,"Oct 21, 2022"
Faya,18.3851,42.4509,70.32,36,4,4.97,SA,"Oct 21, 2022"
Bharwāri,25.55,81.5,77.04,55,0,3.62,IN,"Oct 21, 2022"
Sola,-13.8833,167.55,80.76,78,93,17.94,VU,"Oct 21, 2022"
Kralendijk,12.15,-68.2667,85.98,79,40,13.8,BQ,"Oct 21, 2022"
Olafsvik,64.8945,-23.7142,40.14,74,100,10.38,IS,"Oct 21, 2022"
Port Shepstone,-30.7414,30.455,72.95,80,98,11.68,ZA,"Oct 21, 2022"
Hofn,64.2539,-15.2082,46.42,61,75,5.75,IS,"Oct 21, 2022"
Dubrovytsya,51.5744,26.565,47.53,61,92,7.72,UA,"Oct 21, 2022"
Pandegelang,-6.31,106.1058,73.81,92,100,2.21,ID,"Oct 21, 2022"
Lashio,22.9333,97.75,70.07,80,32,0.54,MM,"Oct 21, 2022"
Cairns,-16.9167,145.7667,76.06,97,100,2.3,AU,"Oct 21, 2022"
Aksarka,66.5606,67.7975,30.79,97,100,8.61,RU,"Oct 21, 2022"
Beloha,-25.1667,45.05,86.81,41,5,11.48,MG,"Oct 21, 2022"
Huesca,42.1362,-0.4087,70.11,78,20,5.75,ES,"Oct 21, 2022"
Santarém,-2.4431,-54.7083,91.71,47,99,5.35,BR,"Oct 21, 2022"
Samarskoye,46.9336,39.6814,50.85,46,89,11.48,RU,"Oct 21, 2022"
Safranbolu,41.2508,32.6942,53.47,47,29,4.32,TR,"Oct 21, 2022"
Staraya Kulatka,52.7167,47.6167,40.71,66,23,9.57,RU,"Oct 21, 2022"
Ladário,-19.0047,-57.6017,80.78,67,100,3.44,BR,"Oct 21, 2022"
Fortuna,40.5982,-124.1573,51.98,90,100,3.44,US,"Oct 21, 2022"
Mountain Home,43.133,-115.6912,38.68,52,0,3.44,US,"Oct 21, 2022"
Kita,13.0349,-9.4895,97.63,24,7,4.59,ML,"Oct 21, 2022"
Kaifeng,34.7911,114.3483,65.25,30,0,3.18,CN,"Oct 21, 2022"
Benjamín Aceval,-24.9667,-57.5667,77.14,58,0,6.67,PY,"Oct 21, 2022"
Buin,-33.7333,-70.75,75.43,37,100,2.62,CL,"Oct 21, 2022"
Shache,38.4167,77.2406,59.59,19,0,4.12,CN,"Oct 21, 2022"
Korla,41.7597,86.1469,54.54,28,0,5.91,CN,"Oct 21, 2022"
Biysk,52.5364,85.2072,47.19,77,100,6.17,RU,"Oct 21, 2022"
Xichang,27.8964,102.2634,61.03,82,1,2.8,CN,"Oct 21, 2022"
Laguna,38.421,-121.4238,68.09,78,0,3.44,US,"Oct 21, 2022"
Roebourne,-20.7833,117.1333,77.63,65,0,15.75,AU,"Oct 21, 2022"
Pangnirtung,66.1451,-65.7125,29.48,95,100,8.03,CA,"Oct 21, 2022"
Parry Sound,45.3501,-80.033,44.8,72,100,11.74,CA,"Oct 21, 2022"
Yerbogachën,61.2767,108.0108,29.73,83,100,3.62,RU,"Oct 21, 2022"
Shahreza,32.0339,51.8794,67.64,15,0,3.98,IR,"Oct 21, 2022"
Srednekolymsk,67.45,153.6833,14.32,95,100,12.91,RU,"Oct 21, 2022"
Paragould,36.0584,-90.4973,58.08,58,3,9.01,US,"Oct 21, 2022"
Karratha,-20.7377,116.8463,76.33,70,0,16.33,AU,"Oct 21, 2022"
City of San Pedro,14.35,121.0167,82.35,86,45,4.47,PH,"Oct 21, 2022"
Seddon,-37.8068,144.8916,65.86,91,75,5.75,AU,"Oct 21, 2022"
Seymchan,62.8833,152.4333,3.42,91,100,1.45,RU,"Oct 21, 2022"
Darhan,49.4867,105.9228,37.0,44,18,7.92,MN,"Oct 21, 2022"
Port Hedland,-20.3167,118.5667,78.85,78,0,14.97,AU,"Oct 21, 2022"
Leninsk,48.7119,45.1994,48.78,72,99,17.36,RU,"Oct 21, 2022"
Gouré,13.9835,10.2704,93.4,12,96,8.99,NE,"Oct 21, 2022"
Port Augusta,-32.5,137.7667,62.1,86,0,6.26,AU,"Oct 21, 2022"
Ouésso,1.6136,16.0517,78.57,89,87,3.15,CG,"Oct 21, 2022"
Kodarmā,24.4667,85.6,70.47,65,0,2.98,IN,"Oct 21, 2022"
Nampa,43.5407,-116.5635,54.36,58,0,3.44,US,"Oct 21, 2022"
Neuquén,-38.9516,-68.0591,49.89,76,75,9.22,AR,"Oct 21, 2022"
Nouadhibou,20.931,-17.0347,73.06,78,1,18.19,MR,"Oct 21, 2022"
Kupang,-10.1667,123.5833,82.29,77,56,4.68,ID,"Oct 21, 2022"
Carquefou,47.2982,-1.4902,70.14,66,0,14.97,FR,"Oct 21, 2022"
Isla Vista,34.4133,-119.861,50.36,60,1,2.51,US,"Oct 21, 2022"
Emerald,-23.5333,148.1667,63.34,87,100,7.14,AU,"Oct 21, 2022"
Ginir,7.1333,40.7,63.14,80,76,6.42,ET,"Oct 21, 2022"
Westport,41.1415,-73.3579,57.9,65,0,6.91,US,"Oct 21, 2022"
Viedma,-40.8135,-62.9967,55.56,37,99,18.9,AR,"Oct 21, 2022"
Sakakah,29.9697,40.2064,90.09,17,51,14.09,SA,"Oct 21, 2022"
Yulara,-25.2406,130.9889,79.11,18,72,5.88,AU,"Oct 21, 2022"
Gornopravdinsk,60.05,69.9,34.23,78,100,8.01,RU,"Oct 21, 2022"
Margate,51.3813,1.3862,67.3,73,18,8.01,GB,"Oct 21, 2022"
Katwa,23.6399,88.128,75.79,63,0,6.76,IN,"Oct 21, 2022"
Banikoara,11.2985,2.4386,95.7,21,9,5.5,BJ,"Oct 21, 2022"
Hammerfest,70.6634,23.6821,36.05,69,75,4.61,NO,"Oct 21, 2022"
Nombre de Dios,23.85,-104.2333,57.31,59,1,1.34,MX,"Oct 21, 2022"
Nome,64.5011,-165.4064,37.47,87,100,0.0,US,"Oct 21, 2022"
Honningsvåg,70.9821,25.9704,35.35,64,100,11.5,NO,"Oct 21, 2022"
Kesinga,20.2,83.2333,69.8,71,0,2.82,IN,"Oct 21, 2022"
Wodonga,-36.1167,146.8833,62.6,100,75,0.0,AU,"Oct 21, 2022"
Charters Towers,-20.1,146.2667,71.71,84,0,7.11,AU,"Oct 21, 2022"
Santa Marta,11.2408,-74.199,86.9,70,10,1.99,CO,"Oct 21, 2022"
Bodrum,37.0383,27.4292,78.73,42,0,13.11,TR,"Oct 21, 2022"
Matamoros,25.5333,-103.25,57.31,54,0,0.0,MX,"Oct 21, 2022"
Bhuj,23.2667,69.6667,85.55,31,0,9.08,IN,"Oct 21, 2022"
Savannah Bight,16.45,-85.85,81.1,74,97,6.06,HN,"Oct 21, 2022"
Copiapó,-27.3667,-70.3333,53.29,33,0,5.01,CL,"Oct 21, 2022"
Būrewāla,30.1667,72.65,77.94,25,0,7.9,PK,"Oct 21, 2022"
Sjøvegan,68.8726,17.8474,42.21,98,100,6.6,NO,"Oct 21, 2022"
Roswell,34.0232,-84.3616,53.96,62,0,3.44,US,"Oct 21, 2022"
Kazachinskoye,57.6953,93.2761,38.53,89,100,5.86,RU,"Oct 21, 2022"
San Patricio,28.017,-97.5169,72.88,69,0,9.84,US,"Oct 21, 2022"
North Battleford,52.7834,-108.2847,38.41,54,100,6.58,CA,"Oct 21, 2022"
Great Falls,47.5002,-111.3008,59.41,49,0,23.02,US,"Oct 21, 2022"
Klaksvík,62.2266,-6.589,47.32,73,100,16.53,FO,"Oct 21, 2022"
Kazanka,47.8462,32.8218,50.16,39,3,4.7,UA,"Oct 21, 2022"
Bucerías,20.75,-105.3333,76.75,86,99,4.14,MX,"Oct 21, 2022"
Beian,63.6559,9.5683,51.01,66,0,11.5,NO,"Oct 21, 2022"
Tekirdağ,40.978,27.5085,60.15,42,0,15.64,TR,"Oct 21, 2022"
Khonsa,27.0167,95.5667,64.04,83,0,4.18,IN,"Oct 21, 2022"
Sioux Lookout,50.1001,-91.917,42.87,93,75,6.91,CA,"Oct 21, 2022"
Port Macquarie,-31.4333,152.9167,65.89,88,100,16.46,AU,"Oct 21, 2022"
Kāmyārān,34.7956,46.9355,68.92,24,26,16.87,IR,"Oct 21, 2022"
Imbituba,-28.24,-48.6703,76.86,73,15,6.08,BR,"Oct 21, 2022"
Pāsighāt,28.0667,95.3333,70.57,69,0,4.54,IN,"Oct 21, 2022"
Kalispell,48.1958,-114.3129,55.44,47,100,12.66,US,"Oct 21, 2022"
Yangambi,0.8102,24.4336,72.99,97,100,2.95,CD,"Oct 21, 2022"
Anito,12.4497,125.2886,80.42,88,92,6.29,PH,"Oct 21, 2022"
Fairbanks,64.8378,-147.7164,34.61,94,100,8.05,US,"Oct 21, 2022"
Ust-Nera,64.5667,143.2,-2.34,90,100,1.79,RU,"Oct 21, 2022"
Sawtell,-30.3833,153.1,68.02,88,100,10.36,AU,"Oct 21, 2022"
Marovoay,-16.1,46.6333,87.35,39,10,13.8,MG,"Oct 21, 2022"
Flensburg,54.7833,9.4333,57.9,94,100,4.61,DE,"Oct 21, 2022"
Agadez,19.75,10.25,85.19,14,0,13.76,NE,"Oct 21, 2022"
Kahului,20.8947,-156.47,69.82,73,0,4.61,US,"Oct 21, 2022"
Tahoua,14.8888,5.2692,96.35,11,42,7.67,NE,"Oct 21, 2022"
Half Moon Bay,37.4636,-122.4286,57.61,93,100,5.75,US,"Oct 21, 2022"
Pitimbu,-7.4706,-34.8086,81.09,60,96,12.03,BR,"Oct 21, 2022"
Mayya,61.7333,130.2811,25.92,98,100,4.36,RU,"Oct 21, 2022"
Bitung,1.4451,125.1824,77.85,77,55,0.58,ID,"Oct 21, 2022"
Aksha,50.2814,113.2867,30.88,63,100,2.82,RU,"Oct 21, 2022"
Tessalit,20.1986,1.0114,93.72,9,83,10.42,ML,"Oct 21, 2022"
Muisne,0.6,-80.0333,75.36,79,98,9.71,EC,"Oct 21, 2022"
Dukat,62.55,155.55,-4.4,99,95,4.85,RU,"Oct 21, 2022"
Āsosa,10.0667,34.5333,69.03,89,99,1.77,ET,"Oct 21, 2022"
Wamba,8.9333,8.6,85.15,58,100,4.61,NG,"Oct 21, 2022"
Kerman,30.2832,57.0788,72.52,15,34,3.11,IR,"Oct 21, 2022"
Camaná,-16.6228,-72.7111,65.25,74,74,9.35,PE,"Oct 21, 2022"
Eureka,40.8021,-124.1637,52.25,87,5,3.83,US,"Oct 21, 2022"
Mazagão,-0.115,-51.2894,92.21,47,100,5.82,BR,"Oct 21, 2022"
Sørland,67.667,12.6934,44.46,81,75,12.66,NO,"Oct 21, 2022"
Pasinler,39.9803,41.6764,45.59,77,99,5.39,TR,"Oct 21, 2022"
Yamada,39.4667,141.95,56.44,82,93,6.6,JP,"Oct 21, 2022"
Nisibis,37.0778,41.2178,73.6,49,99,8.99,TR,"Oct 21, 2022"
Arawa,-6.2132,155.5367,75.96,88,100,2.08,PG,"Oct 21, 2022"
Ulkan,57.243,107.3223,28.04,93,100,3.38,RU,"Oct 21, 2022"
Samarinda,-0.5,117.15,75.52,96,100,0.51,ID,"Oct 21, 2022"
Sorong,-0.8833,131.25,81.3,80,76,6.2,ID,"Oct 21, 2022"
Kadyy,57.787,43.1903,36.57,71,99,4.41,RU,"Oct 21, 2022"
Saint-Hyacinthe,45.6168,-72.9491,50.18,62,6,11.03,CA,"Oct 21, 2022"
Kangaatsiaq,68.3065,-53.4641,33.75,97,100,10.96,GL,"Oct 21, 2022"
Gizo Government Station,-8.103,156.8419,81.81,78,89,5.41,SB,"Oct 21, 2022"
Ayan,56.45,138.1667,28.87,53,0,12.86,RU,"Oct 21, 2022"
Calamar,10.2511,-74.9146,81.99,78,11,5.35,CO,"Oct 21, 2022"
Concepción de Buenos Aires,19.9667,-103.2667,54.21,84,95,3.22,MX,"Oct 21, 2022"
Henties Bay,-22.116,14.2845,62.42,79,10,13.56,NA,"Oct 21, 2022"
San Luis Río Colorado,32.4631,-114.7767,71.26,34,5,2.06,MX,"Oct 21, 2022"
Poronaysk,49.2167,143.1167,39.56,70,100,4.59,RU,"Oct 21, 2022"
Oistins,13.0667,-59.5333,87.89,66,40,17.27,BB,"Oct 21, 2022"
Tuyen Quang,21.8233,105.2181,66.69,97,72,1.72,VN,"Oct 21, 2022"
Redcliffe,-27.2307,153.0973,70.09,88,75,12.66,AU,"Oct 21, 2022"
Williams Lake,52.1415,-122.1445,31.05,89,83,1.41,CA,"Oct 21, 2022"
Prince Rupert,54.3161,-130.3201,46.49,90,100,7.09,CA,"Oct 21, 2022"
Sovetskiy,61.3614,63.5842,30.97,65,34,11.48,RU,"Oct 21, 2022"
Keuruu,62.2667,24.7,44.78,91,100,3.04,FI,"Oct 21, 2022"
Marawi,7.9986,124.2928,70.07,95,100,1.39,PH,"Oct 21, 2022"
Pyatnitskoye,50.4233,37.8273,43.74,57,6,8.05,RU,"Oct 21, 2022"
Port Lincoln,-34.7333,135.8667,56.66,84,39,3.33,AU,"Oct 21, 2022"
Nadym,65.5333,72.5167,30.56,96,100,13.38,RU,"Oct 21, 2022"
Saint-Paul,-21.0096,55.2707,75.31,77,43,1.54,RE,"Oct 21, 2022"
Mackay,-21.15,149.2,67.68,87,62,4.56,AU,"Oct 21, 2022"
Deyang,31.1302,104.382,69.87,49,3,1.34,CN,"Oct 21, 2022"
Luoyang,34.6836,112.4536,67.21,42,0,3.29,CN,"Oct 21, 2022"
Xam Nua,20.4197,104.0439,63.1,99,96,1.83,LA,"Oct 21, 2022"
Abu Samrah,35.3029,37.1841,77.54,35,8,13.58,SY,"Oct 21, 2022"
Zhuhai,22.2769,113.5678,76.78,78,20,9.22,CN,"Oct 21, 2022"
Barra Patuca,15.8,-84.2833,79.83,84,98,4.94,HN,"Oct 21, 2022"
Mount Isa,-20.7333,139.5,80.2,26,0,6.44,AU,"Oct 21, 2022"
Monroe,43.1501,-77.6831,52.3,50,20,12.66,US,"Oct 21, 2022"
Ekibastuz,51.6667,75.3667,52.9,40,100,10.74,KZ,"Oct 21, 2022"
Naze,28.3667,129.4833,74.37,83,98,17.56,JP,"Oct 21, 2022"
Hlatikulu,-26.9667,31.3167,71.35,60,66,5.95,SZ,"Oct 21, 2022"
Tlacotepec (San Mateo),20.0667,-97.8667,59.68,87,86,1.3,MX,"Oct 21, 2022"
Atambua,-9.1061,124.8925,78.48,82,54,1.77,ID,"Oct 21, 2022"
Atikokan,48.7555,-91.6216,41.02,88,3,7.78,CA,"Oct 21, 2022"
Verkhnyaya Inta,65.9811,60.3094,30.9,97,100,19.48,RU,"Oct 21, 2022"
Rock Sound,24.9,-76.2,80.74,72,96,11.21,BS,"Oct 21, 2022"
Kabul,34.5,69.4167,58.12,18,2,3.87,AF,"Oct 21, 2022"
Asilah,35.465,-6.0348,76.96,68,100,8.63,MA,"Oct 21, 2022"
Atar,20.5169,-13.0499,101.28,10,0,10.27,MR,"Oct 21, 2022"
Nurota,40.5614,65.6886,66.81,16,2,4.18,UZ,"Oct 21, 2022"
Soavinandriana,-19.1667,46.7333,66.83,57,87,6.62,MG,"Oct 21, 2022"
Bereda,43.2686,-7.5406,64.42,83,39,11.74,ES,"Oct 21, 2022"
Muroto-misakicho,33.2833,134.15,69.46,60,99,1.5,JP,"Oct 21, 2022"
Ubari,26.5921,12.7805,78.1,27,3,12.28,LY,"Oct 21, 2022"
Nässjö,57.6531,14.6968,43.72,86,100,6.13,SE,"Oct 21, 2022"
Hanmer Springs,-42.5167,172.8167,36.59,89,3,3.56,NZ,"Oct 21, 2022"
Aljezur,37.3191,-8.8033,67.55,86,100,10.83,PT,"Oct 21, 2022"
San Martín,-33.081,-68.4681,69.93,30,0,17.43,AR,"Oct 21, 2022"
Arman',59.7,150.1667,17.87,62,78,9.84,RU,"Oct 21, 2022"
Helong,42.5397,128.9972,55.24,68,100,9.84,CN,"Oct 21, 2022"
Brandon,27.9378,-82.2859,66.92,68,0,11.99,US,"Oct 21, 2022"
Rolla,37.9514,-91.7713,60.94,46,0,13.8,US,"Oct 21, 2022"
Kashgar,39.4547,75.9797,56.91,23,1,4.12,CN,"Oct 21, 2022"
Nishihara,26.1842,127.7558,78.46,97,75,17.27,JP,"Oct 21, 2022"
Alugan,12.2188,125.4808,81.99,83,91,7.23,PH,"Oct 21, 2022"
Russell,32.3502,-85.1999,56.43,38,0,2.33,US,"Oct 21, 2022"
Orangeburg,33.4918,-80.8557,55.81,72,0,1.01,US,"Oct 21, 2022"
Tambovka,50.0969,128.0489,30.92,52,17,6.87,RU,"Oct 21, 2022"
Mēga,4.05,38.3,65.55,65,98,17.11,ET,"Oct 21, 2022"
Pisco,-13.7,-76.2167,62.65,77,75,5.75,PE,"Oct 21, 2022"
Richards Bay,-28.783,32.0377,79.34,68,81,5.41,ZA,"Oct 21, 2022"
Honiara,-9.4333,159.95,78.51,86,58,2.19,SB,"Oct 21, 2022"
‘Āhuimanu,21.4447,-157.8378,78.51,86,75,8.05,US,"Oct 21, 2022"
Uchiza,-8.4592,-76.4633,80.2,77,96,2.19,PE,"Oct 21, 2022"
Tarakan,3.3,117.6333,78.3,94,20,3.44,ID,"Oct 21, 2022"
Iranshahr,27.2025,60.6848,86.43,10,0,5.48,IR,"Oct 21, 2022"
Zhifang,30.35,114.3167,66.54,57,9,2.84,CN,"Oct 21, 2022"
Manta,-0.95,-80.7333,71.38,88,100,10.36,EC,"Oct 21, 2022"
Wexford,52.3342,-6.4575,60.22,93,55,8.99,IE,"Oct 21, 2022"
Vestmanna,62.1564,-7.1664,45.52,76,20,5.75,FO,"Oct 21, 2022"
Baiyin,36.5583,104.2081,49.91,35,38,4.63,CN,"Oct 21, 2022"
Caravelas,-17.7125,-39.2481,82.0,61,100,11.07,BR,"Oct 21, 2022"
Hastings,50.8552,0.5729,67.32,67,26,21.09,GB,"Oct 21, 2022"
Mažeikiai,56.3167,22.3333,46.27,61,100,8.16,LT,"Oct 21, 2022"
Bentiu,9.2333,29.8333,80.33,74,96,7.74,SS,"Oct 21, 2022"
Likasi,-10.9814,26.7333,91.63,17,35,5.08,CD,"Oct 21, 2022"
Bima,-8.4667,118.7167,81.84,77,100,1.14,ID,"Oct 21, 2022"
Wenling,28.3669,121.36,67.32,86,94,6.06,CN,"Oct 21, 2022"
Dunda,-8.1167,34.25,92.44,16,93,2.73,TZ,"Oct 21, 2022"
Smirnykh,49.75,142.8333,35.33,77,100,3.65,RU,"Oct 21, 2022"
Amapá,1.0,-52.0,91.74,43,94,4.0,BR,"Oct 21, 2022"
Boueni,-12.9025,45.0761,82.38,67,12,6.38,YT,"Oct 21, 2022"
Bintulu,3.1667,113.0333,78.98,83,100,1.41,MY,"Oct 21, 2022"
Belmonte,-15.8631,-38.8828,80.64,63,93,8.77,BR,"Oct 21, 2022"
Sungai Penuh,-2.0833,101.3833,66.09,98,100,1.25,ID,"Oct 21, 2022"
Sal Rei,16.1833,-22.9167,84.4,70,20,11.5,CV,"Oct 21, 2022"
Karasburg,-28.0167,18.75,80.6,35,98,18.92,NA,"Oct 21, 2022"
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,79.11,43,0,5.59,AR,"Oct 21, 2022"
Kandrian,-6.2167,149.55,78.1,86,98,3.71,PG,"Oct 21, 2022"
Egvekinot,66.3167,-179.1667,26.94,90,100,7.72,RU,"Oct 21, 2022"
